C:\Users\siarr\AppData\Local\Temp\RenderDoc\terrain_sandbox_2026.09.09_15.42.27_frame2279.rdc - Frame #2279

 EID  | Event                                                                        | Action #
-----------------------------------------------------------------------------------------------
1066  | - Copy/Clear Pass #1                                                         | 1-21  
62    |  \- => vkQueueSubmit(1)[0]: vkBeginCommandBuffer(Baked Command Buffer 15743) | 1     
64    |   - vkCmdCopyBuffer(Buffer 6215, Buffer 6218)                                | 1     
67    |   - vkCmdCopyBuffer(Buffer 9672, Buffer 9675)                                | 2     
70    |   - vkCmdCopyBuffer(Buffer 9676, Buffer 9679)                                | 3     
73    |   - vkCmdCopyBuffer(Buffer 9680, Buffer 9683)                                | 4     
76    |   - vkCmdCopyBuffer(Buffer 9684, Buffer 9687)                                | 5     
79    |   - vkCmdCopyBuffer(Buffer 728, Buffer 727)                                  | 6     
82    |   - vkCmdCopyBuffer(Buffer 732, Buffer 731)                                  | 7     
85    |   - vkCmdCopyBuffer(Buffer 762, Buffer 761)                                  | 8     
88    |   - vkCmdCopyBuffer(Buffer 766, Buffer 765)                                  | 9     
91    |   - vkCmdCopyBuffer(Buffer 980, Buffer 979)                                  | 10    
94    |   - vkCmdCopyBuffer(Buffer 988, Buffer 987)                                  | 11    
97    |   - vkCmdCopyBuffer(Buffer 984, Buffer 983)                                  | 12    
100   |   - vkCmdCopyBuffer(Buffer 1007, Buffer 1006)                                | 13    
103   |   - vkCmdCopyBuffer(Buffer 1011, Buffer 1010)                                | 14    
106   |   - vkCmdCopyBuffer(Buffer 1140, Buffer 1139)                                | 15    
109   |   - vkCmdCopyBuffer(Buffer 6219, Buffer 6222)                                | 16    
112   |   - vkCmdCopyBuffer(Buffer 6223, Buffer 6226)                                | 17    
115   |   - vkCmdCopyBuffer(Buffer 6227, Buffer 6230)                                | 18    
118   |   - vkCmdCopyBuffer(Buffer 6231, Buffer 6234)                                | 19    
121   |   - vkCmdCopyBuffer(Buffer 6235, Buffer 6238)                                | 20    
124   |   - vkCmdCopyBuffer(Buffer 6239, Buffer 6242)                                | 21    
1067  | - Compute Pass #1                                                            | 22-32 
131   |  \- vkCmdDispatch(32, 32, 4)                                                 | 22    
139   |   - vkCmdDispatch(1, 512, 4)                                                 | 23    
146   |   - vkCmdDispatch(1, 512, 4)                                                 | 24    
153   |   - vkCmdDispatch(1, 512, 4)                                                 | 25    
160   |   - vkCmdDispatch(1, 512, 4)                                                 | 26    
170   |   - vkCmdDispatch(32, 32, 1)                                                 | 27    
183   |   - vkCmdDispatch(32, 32, 1)                                                 | 28    
196   |   - vkCmdDispatch(32, 32, 1)                                                 | 29    
209   |   - vkCmdDispatch(32, 32, 1)                                                 | 30    
216   |   - vkCmdCopyBuffer(Buffer 13663, Buffer 13669)                              | 31    
219   |   - vkCmdCopyBuffer(Buffer 13666, Buffer 13670)                              | 32    
1068  | - Colour Pass #1 (1 Targets + Depth)                                         | 33-712
223   |  \- vkCmdBeginRenderPass(C=Clear, DS=Clear)                                  | 33    
235   |   - vkCmdDrawIndexedIndirect(1) => <387096, 99>                              | 33    
240   |   - vkCmdDrawIndexedIndirect(2)                                              | 34-35 
241   |    \- Indirect sub-command[0](<1530, 313>)                                   | 34    
242   |     - Indirect sub-command[1](<1146, 83>)                                    | 35    
248   |   - vkCmdDrawIndexed(95256, 22)                                              | 36    
253   |   - vkCmdDrawIndexedIndirect(2)                                              | 37-38 
254   |    \- Indirect sub-command[0](<762, 66>)                                     | 37    
255   |     - Indirect sub-command[1](<570, 15>)                                     | 38    
261   |   - vkCmdDrawIndexedIndirect(124)                                            | 39-162
262   |    \- Indirect sub-command[0](<17703, 3>)                                    | 39    
263   |     - Indirect sub-command[1](<3525, 3>)                                     | 40    
264   |     - Indirect sub-command[2](<4305, 3>)                                     | 41    
265   |     - Indirect sub-command[3](<19230, 3>)                                    | 42    
266   |     - Indirect sub-command[4](<11454, 2>)                                    | 43    
267   |     - Indirect sub-command[5](<10485, 2>)                                    | 44    
268   |     - Indirect sub-command[6](<702, 2>)                                      | 45    
269   |     - Indirect sub-command[7](<5055, 2>)                                     | 46    
270   |     - Indirect sub-command[8](<10761, 2>)                                    | 47    
271   |     - Indirect sub-command[9](<5409, 2>)                                     | 48    
272   |     - Indirect sub-command[10](<1182, 2>)                                    | 49    
273   |     - Indirect sub-command[11](<14388, 2>)                                   | 50    
274   |     - Indirect sub-command[12](<11370, 1>)                                   | 51    
275   |     - Indirect sub-command[13](<19788, 1>)                                   | 52    
276   |     - Indirect sub-command[14](<1839, 1>)                                    | 53    
277   |     - Indirect sub-command[15](<7143, 1>)                                    | 54    
278   |     - Indirect sub-command[16](<10716, 1>)                                   | 55    
279   |     - Indirect sub-command[17](<14991, 1>)                                   | 56    
280   |     - Indirect sub-command[18](<2214, 1>)                                    | 57    
281   |     - Indirect sub-command[19](<9825, 1>)                                    | 58    
282   |     - Indirect sub-command[20](<5355, 1>)                                    | 59    
283   |     - Indirect sub-command[21](<1653, 1>)                                    | 60    
284   |     - Indirect sub-command[22](<363, 1>)                                     | 61    
285   |     - Indirect sub-command[23](<9921, 1>)                                    | 62    
286   |     - Indirect sub-command[24](<4620, 2>)                                    | 63    
287   |     - Indirect sub-command[25](<5109, 2>)                                    | 64    
288   |     - Indirect sub-command[26](<162, 2>)                                     | 65    
289   |     - Indirect sub-command[27](<3564, 2>)                                    | 66    
290   |     - Indirect sub-command[28](<5823, 3>)                                    | 67    
291   |     - Indirect sub-command[29](<7032, 3>)                                    | 68    
292   |     - Indirect sub-command[30](<927, 3>)                                     | 69    
293   |     - Indirect sub-command[31](<4899, 3>)                                    | 70    
294   |     - Indirect sub-command[32](<7866, 2>)                                    | 71    
295   |     - Indirect sub-command[33](<2910, 2>)                                    | 72    
296   |     - Indirect sub-command[34](<3087, 2>)                                    | 73    
297   |     - Indirect sub-command[35](<11991, 2>)                                   | 74    
298   |     - Indirect sub-command[36](<10062, 1>)                                   | 75    
299   |     - Indirect sub-command[37](<4311, 1>)                                    | 76    
300   |     - Indirect sub-command[38](<1551, 1>)                                    | 77    
301   |     - Indirect sub-command[39](<12519, 1>)                                   | 78    
302   |     - Indirect sub-command[40](<9216, 1>)                                    | 79    
303   |     - Indirect sub-command[41](<4530, 1>)                                    | 80    
304   |     - Indirect sub-command[42](<2790, 1>)                                    | 81    
305   |     - Indirect sub-command[43](<12852, 1>)                                   | 82    
306   |     - Indirect sub-command[44](<7683, 2>)                                    | 83    
307   |     - Indirect sub-command[45](<1989, 2>)                                    | 84    
308   |     - Indirect sub-command[46](<1761, 2>)                                    | 85    
309   |     - Indirect sub-command[47](<12258, 2>)                                   | 86    
310   |     - Indirect sub-command[48](<6201, 1>)                                    | 87    
311   |     - Indirect sub-command[49](<3300, 1>)                                    | 88    
312   |     - Indirect sub-command[50](<843, 1>)                                     | 89    
313   |     - Indirect sub-command[51](<8916, 1>)                                    | 90    
314   |     - Indirect sub-command[52](<5481, 1>)                                    | 91    
315   |     - Indirect sub-command[53](<498, 1>)                                     | 92    
316   |     - Indirect sub-command[54](<423, 1>)                                     | 93    
317   |     - Indirect sub-command[55](<7308, 1>)                                    | 94    
318   |     - Indirect sub-command[56](<5922, 1>)                                    | 95    
319   |     - Indirect sub-command[57](<9312, 1>)                                    | 96    
320   |     - Indirect sub-command[58](<2850, 1>)                                    | 97    
321   |     - Indirect sub-command[59](<5352, 1>)                                    | 98    
322   |     - Indirect sub-command[60](<3597, 6>)                                    | 99    
323   |     - Indirect sub-command[61](<630, 6>)                                     | 100   
324   |     - Indirect sub-command[62](<1014, 6>)                                    | 101   
325   |     - Indirect sub-command[63](<6315, 6>)                                    | 102   
326   |     - Indirect sub-command[64](<3036, 4>)                                    | 103   
327   |     - Indirect sub-command[65](<2652, 4>)                                    | 104   
328   |     - Indirect sub-command[66](<303, 4>)                                     | 105   
329   |     - Indirect sub-command[67](<2034, 4>)                                    | 106   
330   |     - Indirect sub-command[68](<2484, 7>)                                    | 107   
331   |     - Indirect sub-command[69](<501, 7>)                                     | 108   
332   |     - Indirect sub-command[70](<123, 7>)                                     | 109   
333   |     - Indirect sub-command[71](<4266, 7>)                                    | 110   
334   |     - Indirect sub-command[72](<4137, 8>)                                    | 111   
335   |     - Indirect sub-command[73](<828, 8>)                                     | 112   
336   |     - Indirect sub-command[74](<1977, 8>)                                    | 113   
337   |     - Indirect sub-command[75](<5082, 8>)                                    | 114   
338   |     - Indirect sub-command[76](<3996, 6>)                                    | 115   
339   |     - Indirect sub-command[77](<1005, 6>)                                    | 116   
340   |     - Indirect sub-command[78](<2343, 6>)                                    | 117   
341   |     - Indirect sub-command[79](<5817, 6>)                                    | 118   
342   |     - Indirect sub-command[80](<2793, 5>)                                    | 119   
343   |     - Indirect sub-command[81](<1617, 5>)                                    | 120   
344   |     - Indirect sub-command[82](<363, 5>)                                     | 121   
345   |     - Indirect sub-command[83](<2544, 5>)                                    | 122   
346   |     - Indirect sub-command[84](<3084, 5>)                                    | 123   
347   |     - Indirect sub-command[85](<318, 5>)                                     | 124   
348   |     - Indirect sub-command[86](<255, 5>)                                     | 125   
349   |     - Indirect sub-command[87](<3069, 5>)                                    | 126   
350   |     - Indirect sub-command[88](<3450, 3>)                                    | 127   
351   |     - Indirect sub-command[89](<1437, 3>)                                    | 128   
352   |     - Indirect sub-command[90](<1683, 3>)                                    | 129   
353   |     - Indirect sub-command[91](<4791, 3>)                                    | 130   
354   |     - Indirect sub-command[92](<3963, 6>)                                    | 131   
355   |     - Indirect sub-command[93](<2013, 6>)                                    | 132   
356   |     - Indirect sub-command[94](<144, 6>)                                     | 133   
357   |     - Indirect sub-command[95](<2397, 6>)                                    | 134   
358   |     - Indirect sub-command[96](<3261, 5>)                                    | 135   
359   |     - Indirect sub-command[97](<414, 5>)                                     | 136   
360   |     - Indirect sub-command[98](<1248, 5>)                                    | 137   
361   |     - Indirect sub-command[99](<7899, 5>)                                    | 138   
362   |     - Indirect sub-command[100](<1953, 2>)                                   | 139   
363   |     - Indirect sub-command[101](<1452, 2>)                                   | 140   
364   |     - Indirect sub-command[102](<90, 2>)                                     | 141   
365   |     - Indirect sub-command[103](<1890, 2>)                                   | 142   
366   |     - Indirect sub-command[104](<3024, 3>)                                   | 143   
367   |     - Indirect sub-command[105](<789, 3>)                                    | 144   
368   |     - Indirect sub-command[106](<171, 3>)                                    | 145   
369   |     - Indirect sub-command[107](<3843, 3>)                                   | 146   
370   |     - Indirect sub-command[108](<2697, 2>)                                   | 147   
371   |     - Indirect sub-command[109](<843, 2>)                                    | 148   
372   |     - Indirect sub-command[110](<2535, 2>)                                   | 149   
373   |     - Indirect sub-command[111](<3675, 2>)                                   | 150   
374   |     - Indirect sub-command[112](<3087, 7>)                                   | 151   
375   |     - Indirect sub-command[113](<2376, 7>)                                   | 152   
376   |     - Indirect sub-command[114](<1896, 7>)                                   | 153   
377   |     - Indirect sub-command[115](<2412, 7>)                                   | 154   
378   |     - Indirect sub-command[116](<4467, 3>)                                   | 155   
379   |     - Indirect sub-command[117](<1077, 3>)                                   | 156   
380   |     - Indirect sub-command[118](<1155, 3>)                                   | 157   
381   |     - Indirect sub-command[119](<5589, 3>)                                   | 158   
382   |     - Indirect sub-command[120](<3369, 3>)                                   | 159   
383   |     - Indirect sub-command[121](<3720, 3>)                                   | 160   
384   |     - Indirect sub-command[122](<411, 3>)                                    | 161   
385   |     - Indirect sub-command[123](<4509, 3>)                                   | 162   
389   |   - vkCmdDrawIndexedIndirect(124)                                            | 163-286
390   |    \- Indirect sub-command[0](<17703, 3>)                                    | 163   
391   |     - Indirect sub-command[1](<3525, 3>)                                     | 164   
392   |     - Indirect sub-command[2](<4305, 3>)                                     | 165   
393   |     - Indirect sub-command[3](<19230, 3>)                                    | 166   
394   |     - Indirect sub-command[4](<11454, 2>)                                    | 167   
395   |     - Indirect sub-command[5](<10485, 2>)                                    | 168   
396   |     - Indirect sub-command[6](<702, 2>)                                      | 169   
397   |     - Indirect sub-command[7](<5055, 2>)                                     | 170   
398   |     - Indirect sub-command[8](<10761, 2>)                                    | 171   
399   |     - Indirect sub-command[9](<5409, 2>)                                     | 172   
400   |     - Indirect sub-command[10](<1182, 2>)                                    | 173   
401   |     - Indirect sub-command[11](<14388, 2>)                                   | 174   
402   |     - Indirect sub-command[12](<11370, 1>)                                   | 175   
403   |     - Indirect sub-command[13](<19788, 1>)                                   | 176   
404   |     - Indirect sub-command[14](<1839, 1>)                                    | 177   
405   |     - Indirect sub-command[15](<7143, 1>)                                    | 178   
406   |     - Indirect sub-command[16](<10716, 1>)                                   | 179   
407   |     - Indirect sub-command[17](<14991, 1>)                                   | 180   
408   |     - Indirect sub-command[18](<2214, 1>)                                    | 181   
409   |     - Indirect sub-command[19](<9825, 1>)                                    | 182   
410   |     - Indirect sub-command[20](<5355, 1>)                                    | 183   
411   |     - Indirect sub-command[21](<1653, 1>)                                    | 184   
412   |     - Indirect sub-command[22](<363, 1>)                                     | 185   
413   |     - Indirect sub-command[23](<9921, 1>)                                    | 186   
414   |     - Indirect sub-command[24](<4620, 2>)                                    | 187   
415   |     - Indirect sub-command[25](<5109, 2>)                                    | 188   
416   |     - Indirect sub-command[26](<162, 2>)                                     | 189   
417   |     - Indirect sub-command[27](<3564, 2>)                                    | 190   
418   |     - Indirect sub-command[28](<5823, 3>)                                    | 191   
419   |     - Indirect sub-command[29](<7032, 3>)                                    | 192   
420   |     - Indirect sub-command[30](<927, 3>)                                     | 193   
421   |     - Indirect sub-command[31](<4899, 3>)                                    | 194   
422   |     - Indirect sub-command[32](<7866, 2>)                                    | 195   
423   |     - Indirect sub-command[33](<2910, 2>)                                    | 196   
