EID,GPU Duration (µs),Input Vertices Read,Input Primitives,GS Primitives,Rasterizer Invocations,Rasterized Primitives,Samples Passed,VS Invocations,TCS Invocations,TES Invocations,GS Invocations,PS Invocations,CS Invocations
64,2.52,0,0,0,0,0,0,0,0,0,0,0,0
67,2.08,0,0,0,0,0,0,0,0,0,0,0,0
70,1.52,0,0,0,0,0,0,0,0,0,0,0,0
73,1.64,0,0,0,0,0,0,0,0,0,0,0,0
76,1.40,0,0,0,0,0,0,0,0,0,0,0,0
79,1.68,0,0,0,0,0,0,0,0,0,0,0,0
82,1.52,0,0,0,0,0,0,0,0,0,0,0,0
85,1.60,0,0,0,0,0,0,0,0,0,0,0,0
88,1.52,0,0,0,0,0,0,0,0,0,0,0,0
91,8.24,0,0,0,0,0,0,0,0,0,0,0,0
94,1.44,0,0,0,0,0,0,0,0,0,0,0,0
97,1.48,0,0,0,0,0,0,0,0,0,0,0,0
100,2.04,0,0,0,0,0,0,0,0,0,0,0,0
103,1.44,0,0,0,0,0,0,0,0,0,0,0,0
106,1.36,0,0,0,0,0,0,0,0,0,0,0,0
109,1.32,0,0,0,0,0,0,0,0,0,0,0,0
112,1.56,0,0,0,0,0,0,0,0,0,0,0,0
115,1.44,0,0,0,0,0,0,0,0,0,0,0,0
118,1.40,0,0,0,0,0,0,0,0,0,0,0,0
121,1.40,0,0,0,0,0,0,0,0,0,0,0,0
124,9.24,0,0,0,0,0,0,0,0,0,0,0,0
131,923.36,0,0,0,0,0,0,0,0,0,0,0,1048576
139,627.16,0,0,0,0,0,0,0,0,0,0,0,524288
146,615.36,0,0,0,0,0,0,0,0,0,0,0,524288
153,1707.72,0,0,0,0,0,0,0,0,0,0,0,524288
160,1603.48,0,0,0,0,0,0,0,0,0,0,0,524288
170,593.93,0,0,0,0,0,0,0,0,0,0,0,262144
183,319.16,0,0,0,0,0,0,0,0,0,0,0,262144
196,317.44,0,0,0,0,0,0,0,0,0,0,0,262144
209,307.96,0,0,0,0,0,0,0,0,0,0,0,262144
216,10.00,0,0,0,0,0,0,0,0,0,0,0,0
219,2.48,0,0,0,0,0,0,0,0,0,0,0,0
235,8945.64,38322504,12774168,0,12774168,8996751,534467,13031914,0,0,12774168,534467,0
241,9063.76,478890,159630,0,159630,112005,8373,162840,0,0,159630,8373,0
242,9109.48,95118,31706,0,31706,22322,230,32932,0,0,31706,230,0
248,9586.04,2095632,698544,0,698544,442590,0,715522,0,0,698544,0,0
254,9591.60,50292,16764,0,16764,10514,0,17168,0,0,16764,0,0
255,665.48,8550,2850,0,2850,1895,0,2972,0,0,2850,0,0
262,549.72,53109,17703,0,220,0,0,19070,0,0,17703,0,0
263,504.96,10575,3525,0,6,0,0,4248,0,0,3525,0,0
264,28.48,12915,4305,0,0,0,0,5452,0,0,4305,0,0
265,651.65,57690,19230,0,883,0,0,33705,0,0,19230,0,0
266,24.28,22908,7636,0,12,0,0,8212,0,0,7636,0,0
267,28.04,20970,6990,0,0,0,0,9598,0,0,6990,0,0
268,27.48,1404,468,0,0,0,0,380,0,0,468,0,0
269,27.44,10110,3370,0,136,0,0,5311,0,0,3370,0,0
270,15.04,21522,7174,0,144,0,0,9206,0,0,7174,0,0
271,11.24,10818,3606,0,0,0,0,5383,0,0,3606,0,0
272,8.44,2364,788,0,0,0,0,989,0,0,788,0,0
273,19.52,28776,9592,0,609,0,0,16869,0,0,9592,0,0
274,24.56,11370,3790,0,74,0,0,4480,0,0,3790,0,0
275,26.12,19788,6596,0,68,0,0,7543,0,0,6596,0,0
276,24.00,1839,613,0,0,0,0,618,0,0,613,0,0
277,27.80,7143,2381,0,147,0,0,4114,0,0,2381,0,0
278,20.00,10716,3572,0,111,0,0,4305,0,0,3572,0,0
279,18.20,14991,4997,0,82,0,0,5891,0,0,4997,0,0
280,13.68,2214,738,0,0,0,0,749,0,0,738,0,0
281,240.60,9825,3275,0,490,54,1735901,5508,0,0,3275,1820514,0
282,236.08,5355,1785,0,78,0,0,2066,0,0,1785,0,0
283,232.84,1653,551,0,0,0,0,763,0,0,551,0,0
284,228.96,363,121,0,0,0,0,97,0,0,121,0,0
285,228.32,9921,3307,0,259,0,0,5900,0,0,3307,0,0
286,6.16,9240,3080,0,12,0,0,3128,0,0,3080,0,0
287,6.24,10218,3406,0,0,0,0,4149,0,0,3406,0,0
288,5.44,324,108,0,0,0,0,88,0,0,108,0,0
289,5.80,7128,2376,0,146,0,0,3817,0,0,2376,0,0
290,6.76,17469,5823,0,152,0,0,6104,0,0,5823,0,0
291,8.28,21096,7032,0,120,0,0,9321,0,0,7032,0,0
292,183.65,2781,927,0,0,0,0,742,0,0,927,0,0
293,9.16,14697,4899,0,341,0,0,8618,0,0,4899,0,0
294,13.92,15732,5244,0,230,0,0,5649,0,0,5244,0,0
295,12.92,5820,1940,0,56,0,0,2233,0,0,1940,0,0
296,12.24,6174,2058,0,0,0,0,2305,0,0,2058,0,0
297,19.68,23982,7994,0,574,0,0,14053,0,0,7994,0,0
298,19.72,10062,3354,0,90,0,0,3659,0,0,3354,0,0
299,15.20,4311,1437,0,0,0,0,1791,0,0,1437,0,0
300,14.08,1551,517,0,0,0,0,587,0,0,517,0,0
301,21.36,12519,4173,0,298,0,0,7406,0,0,4173,0,0
302,15.20,9216,3072,0,114,0,0,3400,0,0,3072,0,0
303,11.40,4530,1510,0,36,0,0,1941,0,0,1510,0,0
304,10.44,2790,930,0,0,0,0,1046,0,0,930,0,0
305,13.84,12852,4284,0,358,0,0,7575,0,0,4284,0,0
306,13.24,15366,5122,0,225,0,0,5631,0,0,5122,0,0
307,11.76,3978,1326,0,18,0,0,1689,0,0,1326,0,0
308,10.04,3522,1174,0,0,0,0,1280,0,0,1174,0,0
309,21.80,24516,8172,0,532,4,5826,14470,0,0,8172,5826,0
310,18.24,6201,2067,0,115,0,0,2291,0,0,2067,0,0
311,13.92,3300,1100,0,0,0,0,1551,0,0,1100,0,0
312,13.28,843,281,0,0,0,0,228,0,0,281,0,0
313,12.72,8916,2972,0,243,0,0,5241,0,0,2972,0,0
314,7.76,5481,1827,0,72,0,0,2071,0,0,1827,0,0
315,7.56,498,166,0,0,0,0,236,0,0,166,0,0
316,8.48,423,141,0,0,0,0,119,0,0,141,0,0
317,10.64,7308,2436,0,248,0,0,4323,0,0,2436,0,0
318,11.04,5922,1974,0,14,0,0,2042,0,0,1974,0,0
319,10.44,9312,3104,0,65,0,0,3468,0,0,3104,0,0
320,9.36,2850,950,0,6,0,0,1033,0,0,950,0,0
321,8.92,5352,1784,0,90,0,0,3146,0,0,1784,0,0
322,13.64,21582,7194,0,3239,3051,0,9753,0,0,7194,166,0
323,11.64,3780,1260,0,418,406,0,1599,0,0,1260,24,0
324,9.96,6084,2028,0,847,847,0,2421,0,0,2028,0,0
325,32.04,37890,12630,0,6696,6314,36997,23536,0,0,12630,44386,0
326,31.36,12144,4048,0,963,824,0,5217,0,0,4048,0,0
327,25.08,10608,3536,0,608,558,0,4984,0,0,3536,0,0
328,24.40,1212,404,0,90,90,0,337,0,0,404,0,0
329,24.32,8136,2712,0,865,670,0,5196,0,0,2712,0,0
330,11.76,17388,5796,0,2528,2432,78,8332,0,0,5796,148,0
331,11.08,3507,1169,0,326,326,0,1757,0,0,1169,0,0
332,6.56,861,287,0,130,130,0,260,0,0,287,0,0
333,13.36,29862,9954,0,5991,5636,10,19040,0,0,9954,725,0
334,18.08,33096,11032,0,6051,5805,114,15164,0,0,11032,409,0
335,16.44,6624,2208,0,1056,1006,0,2968,0,0,2208,73,0
336,17.52,15816,5272,0,2826,2826,58,5949,0,0,5272,215,0
337,28.16,40656,13552,0,8789,8430,239,26396,0,0,13552,1370,0
338,24.92,23976,7992,0,3692,3424,0,11416,0,0,7992,44,0
339,19.56,6030,2010,0,748,718,0,2658,0,0,2010,0,0
340,20.28,14058,4686,0,1950,1950,0,5599,0,0,4686,0,0
341,25.84,34902,11634,0,6139,5778,148,21646,0,0,11634,413,0
342,15.12,13965,4655,0,1728,1514,0,6236,0,0,4655,0,0
343,12.56,8085,2695,0,731,677,0,3801,0,0,2695,0,0
344,11.92,1815,605,0,225,225,0,510,0,0,605,0,0
345,59.88,12720,4240,0,2008,1704,400619,8106,0,0,4240,458252,0
346,53.12,15420,5140,0,1660,1552,0,6841,0,0,5140,0,0
347,51.76,1590,530,0,117,117,0,777,0,0,530,0,0
348,51.08,1275,425,0,128,128,0,350,0,0,425,0,0
349,53.00,15345,5115,0,2378,2038,0,9887,0,0,5115,0,0
350,6.44,10350,3450,0,188,0,0,4593,0,0,3450,0,0
351,5.08,4311,1437,0,48,0,0,1787,0,0,1437,0,0
352,4.44,5049,1683,0,0,0,0,1936,0,0,1683,0,0
353,6.40,14373,4791,0,319,0,0,8839,0,0,4791,0,0
354,8.72,23778,7926,0,2352,2340,0,8445,0,0,7926,0,0
355,8.60,12078,4026,0,1096,1096,0,5092,0,0,4026,0,0
356,7.92,864,288,0,132,132,0,247,0,0,288,0,0
357,10.20,14382,4794,0,2508,2348,0,8277,0,0,4794,0,0
358,10.64,16305,5435,0,1966,1777,0,7721,0,0,5435,0,0
359,7.04,2070,690,0,146,146,0,1116,0,0,690,0,0
360,6.40,6240,2080,0,618,618,0,2545,0,0,2080,0,0
361,15.08,39495,13165,0,5714,5231,0,24810,0,0,13165,0,0
362,12.80,3906,1302,0,6,0,0,1526,0,0,1302,0,0
363,11.24,2904,968,0,0,0,0,1131,0,0,968,0,0
364,10.64,180,60,0,0,0,0,52,0,0,60,0,0
365,9.96,3780,1260,0,141,0,0,2125,0,0,1260,0,0
366,3.56,9072,3024,0,157,0,0,4034,0,0,3024,0,0
367,3.36,2367,789,0,11,0,0,1137,0,0,789,0,0
368,2.72,513,171,0,0,0,0,148,0,0,171,0,0
369,5.08,11529,3843,0,262,0,0,7303,0,0,3843,0,0
370,5.16,5394,1798,0,95,0,0,2530,0,0,1798,0,0
371,4.48,1686,562,0,0,0,0,840,0,0,562,0,0
372,4.04,5070,1690,0,0,0,0,1980,0,0,1690,0,0
373,4.64,7350,2450,0,118,0,0,4596,0,0,2450,0,0
374,6.88,21609,7203,0,3462,3442,0,8454,0,0,7203,0,0
375,8.64,16632,5544,0,2700,2601,0,7392,0,0,5544,0,0
376,9.48,13272,4424,0,2038,2038,0,4935,0,0,4424,0,0
377,12.84,16884,5628,0,3331,3195,0,10460,0,0,5628,0,0
378,12.20,13401,4467,0,159,0,0,6091,0,0,4467,0,0
379,9.36,3231,1077,0,17,0,0,1352,0,0,1077,0,0
380,6.68,3465,1155,0,0,0,0,1499,0,0,1155,0,0
381,8.00,16767,5589,0,409,0,0,10441,0,0,5589,0,0
382,5.40,10107,3369,0,75,0,0,3975,0,0,3369,0,0
383,5.80,11160,3720,0,76,0,0,5128,0,0,3720,0,0
384,5.12,1233,411,0,0,0,0,390,0,0,411,0,0
385,6.52,13527,4509,0,219,0,0,8226,0,0,4509,0,0
390,19.80,53109,17703,0,17703,0,0,19070,0,0,17703,0,0
391,21.16,10575,3525,0,3525,0,0,4248,0,0,3525,0,0
392,23.84,12915,4305,0,4305,0,0,5452,0,0,4305,0,0
393,46.16,57690,19230,0,19230,0,0,33705,0,0,19230,0,0
394,50.84,22908,7636,0,7636,0,0,8212,0,0,7636,0,0
395,42.88,20970,6990,0,6990,0,0,9598,0,0,6990,0,0
396,40.16,1404,468,0,468,0,0,380,0,0,468,0,0
397,40.00,10110,3370,0,3370,0,0,5311,0,0,3370,0,0
398,23.24,21522,7174,0,7174,0,0,9206,0,0,7174,0,0
399,20.64,10818,3606,0,3606,0,0,5383,0,0,3606,0,0
400,14.64,2364,788,0,788,0,0,989,0,0,788,0,0
401,25.32,28776,9592,0,9592,0,0,16869,0,0,9592,0,0
402,25.48,11370,3790,0,3790,0,0,4480,0,0,3790,0,0
403,24.52,19788,6596,0,6596,0,0,7543,0,0,6596,0,0
404,21.32,1839,613,0,613,0,0,618,0,0,613,0,0
405,23.72,7143,2381,0,2381,0,0,4114,0,0,2381,0,0
406,16.44,10716,3572,0,3572,0,0,4305,0,0,3572,0,0
407,18.88,14991,4997,0,4997,0,0,5891,0,0,4997,0,0
408,13.88,2214,738,0,738,0,0,749,0,0,738,0,0
409,2824.36,9825,3275,0,3275,54,672051,5508,0,0,3275,672051,0
410,2821.80,5355,1785,0,1785,0,0,2066,0,0,1785,0,0
411,2818.00,1653,551,0,551,0,0,763,0,0,551,0,0
412,2812.52,363,121,0,121,0,0,97,0,0,121,0,0
413,2811.88,9921,3307,0,3307,0,0,5900,0,0,3307,0,0
414,57.24,9240,3080,0,3080,0,0,3128,0,0,3080,0,0
